ID,Sample,negativity,neutrality,positivity,compound,polarity,subjectivity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Verdadero,Misinformation,Desinformación,ProGob,ContraGob,NoVerificable,MisDisInformation,Propaganda
372,A,0.304,0.696,0,-0.7906,-0.15,0.2,0,0,0,0,0,0.071428571,0,0.071428571,0,0,1,0,0,0,0,0,0,0
373,A,0,1,0,0,0.136363636,0.454545455,0,0,0,0,0,0,0.125,0,0,0,1,0,0,0,0,0,0,0
374,A,0.035,0.846,0.119,0.5242,0.05,0.5,0,0.045454545,0,0.045454545,0,0.045454545,0.045454545,0,0,0,0,0,0,0,0,1,0,0
375,A,0.138,0.862,0,-0.5423,0,0,0.0625,0.1875,0,0,0,0.125,0.125,0,0,0,1,0,0,0,0,0,0,0
376,A,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0
377,A,0.054,0.946,0,-0.1513,0.141666667,0.641666667,0,0,0,0.066666667,0,0.066666667,0.066666667,0,0,0.066666667,0,0,0,0,0,1,0,0
378,A,0.109,0.795,0.096,-0.1406,0.2875,0.4875,0.055555556,0.055555556,0.055555556,0.111111111,0,0.166666667,0.055555556,0.055555556,0,0,0,0,0,0,1,0,0,1
379,A,0,1,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0,1,0,0,0,0,0,0,0
380,A,0,0.964,0.036,0.0772,0.128787879,0.333333333,0.05,0,0,0.05,0,0.05,0.05,0.05,0,0,1,0,0,0,0,0,0,0
383,A,0.195,0.805,0,-0.7425,-0.2,0.6,0.153846154,0,0.076923077,0.153846154,0,0.153846154,0.076923077,0.153846154,0,0.076923077,0,0,0,0,0,1,0,0
384,A,0.263,0.687,0.05,-0.765,-0.5,1,0.1,0.2,0.1,0.3,0.1,0.3,0.3,0.3,0.1,0.2,0,0,0,0,0,1,0,0
385,A,0.392,0.608,0,-0.7964,-0.5,0.3,0,0.111111111,0,0,0,0,0.111111111,0,0,0,1,0,0,0,0,0,0,0
386,A,0.078,0.852,0.071,-0.0772,0.5,0.888888889,0.058823529,0.058823529,0,0.058823529,0.058823529,0.117647059,0.058823529,0.058823529,0.058823529,0.058823529,0,0,0,0,1,0,0,1
387,A,0,1,0,0,0,0,0,0.142857143,0,0.142857143,0.142857143,0,0.285714286,0,0,0.142857143,1,0,0,0,0,0,0,0
388,A,0.04,0.89,0.07,0.024,0.044444444,0.488888889,0.05,0.05,0,0.05,0.05,0.15,0.15,0.05,0.05,0.05,0,0,0,0,1,0,0,1
390,A,0,1,0,0,-0.041666667,0.041666667,0,0.086956522,0,0,0,0.043478261,0.043478261,0,0,0,1,0,0,0,0,0,0,0
391,A,0,1,0,0,-0.125,0.375,0,0.181818182,0,0.181818182,0.090909091,0.090909091,0.272727273,0,0,0.090909091,1,0,0,0,0,0,0,0
392,A,0.097,0.761,0.142,0.3612,0.166666667,0.413333333,0,0.090909091,0.03030303,0,0.060606061,0.090909091,0.090909091,0.060606061,0,0.090909091,0,0,0,0,0,1,0,0
394,A,0.152,0.685,0.162,-0.122,0.008333333,0.383333333,0.055555556,0,0.055555556,0.111111111,0.055555556,0.222222222,0.055555556,0.111111111,0.055555556,0.055555556,0,0,0,0,1,0,0,1
395,A,0,1,0,0,0,0,0,0.125,0,0.125,0.125,0.125,0.375,0.125,0,0.125,1,0,0,0,0,0,0,0
396,A,0,0.791,0.209,0.802,0.28,0.355,0,0.052631579,0,0,0,0,0.105263158,0,0,0.052631579,1,0,0,1,0,0,0,1
397,A,0.516,0.484,0,-0.7506,-0.3,0.4,0,0,0,0,0,0.333333333,0,0.333333333,0,0,1,0,0,0,0,0,0,0
398,A,0,1,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,1,0,0,0,0,0,0,0
399,A,0.195,0.767,0.038,-0.7096,-0.075,0.125,0.117647059,0,0.058823529,0.176470588,0,0.176470588,0.058823529,0.235294118,0,0,0,0,0,0,0,1,0,0
400,A,0.16,0.798,0.043,-0.6771,0.133333333,0.247916667,0,0.05,0.2,0.2,0,0.2,0,0.05,0,0,0,0,0,0,0,1,0,0
401,A,0,0.895,0.105,0.4019,0.094507576,0.482386364,0,0,0,0,0,0,0,0,0,0.071428571,1,0,0,0,0,0,0,0
